repository,pr_number,author,title,created_at,merged_at,base_branch,lines_added,lines_deleted,total_lines_changed,files_changed
MaintenanceHubApi,950,danwatkins-fsp,"FSP-10856 Fix work item tests and run on PR build",2025-02-20T22:38:07Z,2025-02-20T22:53:47Z,master,297,650,947,5
MaintenanceHubApi,949,danwatkins-fsp,"FSP-10823 Fix part request tests and run on PR build",2025-02-18T22:18:57Z,2025-02-19T14:01:09Z,master,771,1768,2539,9
MaintenanceHubApi,948,danwatkins-fsp,"FSP-10838 Fix work order and file import tests and run on PR build",2025-02-18T19:21:30Z,2025-02-18T20:33:42Z,master,186,754,940,12
MaintenanceHubApi,947,timsquires,"FSP-10782 part import updates",2025-02-12T22:25:40Z,2025-02-13T17:09:54Z,master,82,19,101,4
MaintenanceHubApi,946,fspafahrenholtz,"Use NUnit for tests and Docker for integration tests",2025-01-22T21:41:47Z,2025-01-23T16:57:50Z,master,8559,8813,17372,273
MaintenanceHubApi,945,fspafahrenholtz,"FSP-10400 Update FSP-Packages for gracefully handling task cancellation exceptions ",2025-01-15T17:41:03Z,2025-01-16T15:00:21Z,master,8,8,16,1
BillingHubApi,1032,chriscovert,"FSP-11603 500 error on POST AccountingSync/SyncTaskComplete",2025-05-22T14:20:49Z,2025-05-22T14:46:18Z,master,59,1,60,2
BillingHubApi,1031,danwatkins-fsp,"Reuse Azurite, MongoDB, and Redis test containers for isolated fixtures",2025-05-21T20:40:28Z,2025-05-21T21:20:13Z,master,69,55,124,1
BillingHubApi,1028,danwatkins-fsp,"FSP-11497 Calculate sub total and grand total on initialize sale by reservation response",2025-05-20T14:50:19Z,2025-05-20T18:57:43Z,master,49,7,56,2
BillingHubApi,1027,danwatkins-fsp,"FSP-11557 Add invoiceId to initialize refund line item response",2025-05-19T19:44:26Z,2025-05-20T19:01:08Z,master,19,1,20,3
BillingHubApi,1026,danwatkins-fsp,"FSP-11559 Run GenerateStatementAndEmailFunction serially to avoid overloading PDF generator",2025-05-19T18:02:57Z,2025-05-19T19:20:07Z,master,1,0,1,1
BillingHubApi,1025,danwatkins-fsp,"Update Microsoft.NET.Sdk.Functions to 4.6.0, Microsoft.Azure.WebJobs.Extensions.Storage to 5.3.4, FSP-Packages to 15.91.0",2025-05-16T19:34:09Z,2025-05-19T16:40:50Z,master,17,15,32,2
BillingHubApi,1024,danwatkins-fsp,"FSP-11348 Add activity date to open invoices fetch",2025-05-16T16:33:14Z,2025-05-16T17:06:16Z,master,66,14,80,8
BillingHubApi,1023,danwatkins-fsp,"FSP-11371 Remove security context usage from AutoPaymentDequeueFunction",2025-05-16T14:36:26Z,2025-05-16T14:52:25Z,master,28,8,36,1
BillingHubApi,1021,danwatkins-fsp,"FSP-11348 Add dashboard display support for open invoices fetch",2025-05-15T18:38:31Z,2025-05-15T19:20:12Z,master,210,46,256,13
